dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.499331,12.165000,0.000500,0.050000,2.500000,125.000000,6.282684
0.020000,4.499463,12.165000,0.000632,0.006604,-2.169797,-233.489846,6.282783
0.020000,4.499728,12.165000,0.000896,0.013208,0.330194,124.999528,6.282981
0.020000,4.501999,12.165000,0.003168,0.113567,5.017948,234.387728,0.000093
0.020000,4.510527,12.165003,0.011696,0.426413,15.642319,531.218545,0.000489
0.020000,4.521188,12.165010,0.022356,0.533024,5.330549,-515.588507,0.000983
0.020000,4.533980,12.165027,0.035149,0.639626,5.330092,-0.022855,0.001577
0.020000,4.548905,12.165055,0.050074,0.746248,5.331076,0.049227,0.002270
0.020000,4.565962,12.165101,0.067131,0.852848,5.330032,-0.052220,0.003061
0.020000,4.585151,12.165168,0.086320,0.959468,5.331000,0.048399,0.003952
0.020000,4.606473,12.165263,0.107642,1.066080,5.330578,-0.021087,0.004942
0.020000,4.629926,12.165392,0.131096,1.172699,5.330940,0.018110,0.006031
0.020000,4.655512,12.165561,0.156682,1.279317,5.330918,-0.001125,0.007220
0.020000,4.683230,12.165779,0.184401,1.385941,5.331210,0.014600,0.008507
0.020000,4.713080,12.166054,0.214252,1.492568,5.331334,0.006223,0.009894
0.020000,4.745062,12.166394,0.246236,1.599200,5.331616,0.014057,0.011380
0.020000,4.779176,12.166809,0.280353,1.705828,5.331400,-0.010769,0.012966
0.020000,4.815422,12.167310,0.316602,1.812458,5.331486,0.004276,0.014650
0.020000,4.853799,12.167906,0.354984,1.919102,5.332217,0.036554,0.016435
0.020000,4.894308,12.168610,0.395499,2.025732,5.331512,-0.035254,0.018318
0.020000,4.936948,12.169434,0.438146,2.132380,5.332388,0.043816,0.020302
0.020000,4.981718,12.170390,0.482927,2.239018,5.331866,-0.026104,0.022384
0.020000,5.028618,12.171491,0.529840,2.345657,5.331970,0.005199,0.024566
0.020000,5.077648,12.172751,0.578886,2.452301,5.332226,0.012820,0.026848
0.020000,5.128807,12.174186,0.630065,2.558947,5.332258,0.001567,0.029229
0.020000,5.182094,12.175810,0.683376,2.665587,5.332038,-0.011000,0.031710
0.020000,5.237508,12.177640,0.738821,2.772226,5.331913,-0.006236,0.034290
0.020000,5.295049,12.179691,0.796398,2.878864,5.331916,0.000146,0.036970
0.020000,5.354715,12.181981,0.856108,2.985494,5.331525,-0.019556,0.039749
0.020000,5.416505,12.184527,0.917951,3.092130,5.331768,0.012158,0.042627
0.020000,5.480417,12.187348,0.981926,3.198746,5.330813,-0.047751,0.045605
0.020000,5.546451,12.190464,1.048033,3.305370,5.331173,0.018024,0.048681
0.020000,5.614605,12.193893,1.116273,3.411977,5.330381,-0.039603,0.051857
0.020000,5.684876,12.197655,1.186644,3.518583,5.330281,-0.004989,0.055132
0.020000,5.757262,12.201773,1.259148,3.625164,5.329073,-0.060443,0.058505
0.020000,5.831762,12.206266,1.333782,3.731743,5.328956,-0.005810,0.061977
0.020000,5.908372,12.211157,1.410548,3.838301,5.327880,-0.053823,0.065547
0.020000,5.987089,12.216470,1.489445,3.944846,5.327251,-0.031427,0.069215
