dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500028,11.085000,0.000500,0.050000,2.500000,125.000000,6.283165
0.020000,4.500019,11.085000,0.000508,0.000416,-2.479177,-248.958864,6.283171
0.020000,4.500003,11.085000,0.000525,0.000832,0.020770,124.997382,6.283183
0.020000,4.505337,11.085000,0.005860,0.266729,13.294870,663.705001,0.000017
0.020000,4.513304,11.085000,0.013826,0.398345,6.580769,-335.705051,0.000041
0.020000,4.523263,11.085001,0.023785,0.497939,4.979701,-80.053421,0.000072
0.020000,4.535214,11.085002,0.035736,0.597538,4.979963,0.013092,0.000109
0.020000,4.549157,11.085004,0.049679,0.697143,4.980277,0.015710,0.000152
0.020000,4.565092,11.085007,0.065614,0.796756,4.980644,0.018328,0.000201
0.020000,4.583019,11.085011,0.083542,0.896378,4.981062,0.020947,0.000255
0.020000,4.602939,11.085016,0.103462,0.996008,4.981534,0.023565,0.000315
0.020000,4.624852,11.085024,0.125375,1.095649,4.982057,0.026183,0.000380
0.020000,4.648758,11.085034,0.149281,1.195302,4.982633,0.028802,0.000450
0.020000,4.674658,11.085046,0.175180,1.294967,4.983262,0.031418,0.000526
0.020000,4.702551,11.085062,0.203073,1.394646,4.983943,0.034041,0.000606
0.020000,4.732437,11.085082,0.232960,1.494340,4.984676,0.036657,0.000691
0.020000,4.764318,11.085105,0.264841,1.594049,4.985461,0.039276,0.000780
0.020000,4.798194,11.085133,0.298716,1.693775,4.986299,0.041893,0.000873
0.020000,4.834064,11.085166,0.334587,1.793519,4.987189,0.044512,0.000970
0.020000,4.871930,11.085205,0.372452,1.893281,4.988132,0.047129,0.001071
0.020000,4.911791,11.085250,0.412314,1.993064,4.989127,0.049753,0.001175
0.020000,4.953648,11.085301,0.454171,2.092867,4.990174,0.052363,0.001282
0.020000,4.997502,11.085360,0.498025,2.192693,4.991274,0.054989,0.001391
0.020000,5.043353,11.085426,0.543876,2.292541,4.992426,0.057599,0.001503
0.020000,5.091201,11.085501,0.591724,2.392414,4.993631,0.060229,0.001616
0.020000,5.141047,11.085584,0.641570,2.492312,4.994887,0.062835,0.001732
0.020000,5.192892,11.085677,0.693415,2.592236,4.996197,0.065459,0.001848
0.020000,5.246736,11.085780,0.747259,2.692187,4.997558,0.068083,0.001965
0.020000,5.302579,11.085893,0.803102,2.792166,4.998972,0.070687,0.002082
0.020000,5.360422,11.086016,0.860945,2.892175,5.000438,0.073320,0.002200
0.020000,5.420266,11.086152,0.920790,2.992214,5.001957,0.075925,0.002316
0.020000,5.482112,11.086298,0.982635,3.092285,5.003528,0.078557,0.002432
0.020000,5.545959,11.086457,1.046483,3.192388,5.005151,0.081159,0.002546
0.020000,5.611810,11.086629,1.112334,3.292524,5.006827,0.083787,0.002658
0.020000,5.679663,11.086813,1.180187,3.392695,5.008555,0.086405,0.002767
0.020000,5.749521,11.087010,1.250046,3.492902,5.010335,0.089019,0.002874
0.020000,5.821384,11.087220,1.321908,3.593145,5.012168,0.091640,0.002976
0.020000,5.895252,11.087444,1.395777,3.693427,5.014053,0.094258,0.003075
0.020000,5.971127,11.087681,1.471652,3.793746,5.015991,0.096866,0.003168
0.020000,6.049008,11.087931,1.549534,3.894106,5.017981,0.099500,0.003257
