dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500000,17.250000,0.000398,0.039803,1.990164,99.508208,0.000000
0.020000,4.500000,17.250000,0.001990,0.119410,3.980328,99.508208,0.000000
0.020000,4.500000,17.250000,0.005174,0.199016,3.980328,-0.000000,0.000000
0.020000,4.502951,17.250000,0.009951,0.278623,3.980328,-0.000000,0.000000
0.020000,4.509319,17.250000,0.016319,0.358230,3.980328,0.000000,0.000000
0.020000,4.517280,17.250000,0.024280,0.437836,3.980328,0.000000,0.000000
0.020000,4.526833,17.250000,0.033833,0.517443,3.980328,-0.000000,0.000000
0.020000,4.537978,17.250000,0.044978,0.597049,3.980328,0.000000,0.000000
0.020000,4.550715,17.250000,0.057715,0.676656,3.980328,-0.000000,0.000000
0.020000,4.565044,17.250000,0.072044,0.756262,3.980328,0.000000,0.000000
0.020000,4.580965,17.250000,0.087965,0.835869,3.980328,0.000000,0.000000
0.020000,4.598479,17.250000,0.105479,0.915476,3.980328,0.000000,0.000000
0.020000,4.617584,17.250000,0.124584,0.995082,3.980328,0.000000,0.000000
0.020000,4.638282,17.250000,0.145282,1.074689,3.980328,0.000000,0.000000
0.020000,4.660572,17.250000,0.167572,1.154295,3.980328,0.000000,0.000000
0.020000,4.684454,17.250000,0.191454,1.233902,3.980328,-0.000000,0.000000
0.020000,4.709928,17.250000,0.216928,1.313508,3.980328,0.000000,0.000000
0.020000,4.736994,17.250000,0.243994,1.393115,3.980328,-0.000000,0.000000
0.020000,4.765652,17.250000,0.272652,1.472721,3.980328,0.000000,0.000000
0.020000,4.795903,17.250000,0.302903,1.552328,3.980328,-0.000000,0.000000
0.020000,4.827746,17.250000,0.334746,1.631935,3.980328,0.000000,0.000000
0.020000,4.861180,17.250000,0.368180,1.711541,3.980328,0.000000,0.000000
0.020000,4.896207,17.250000,0.403207,1.791148,3.980328,0.000000,0.000000
0.020000,4.932826,17.250000,0.439826,1.870754,3.980328,0.000000,0.000000
0.020000,4.971037,17.250000,0.478037,1.950361,3.980328,0.000000,0.000000
0.020000,5.010841,17.250000,0.517841,2.029967,3.980328,-0.000000,0.000000
0.020000,5.052236,17.250000,0.559236,2.109574,3.980328,0.000000,0.000000
0.020000,5.095224,17.250000,0.602224,2.189181,3.980328,-0.000000,0.000000
0.020000,5.139803,17.250000,0.646803,2.268787,3.980328,0.000000,0.000000
0.020000,5.185975,17.250000,0.692975,2.348394,3.980328,-0.000000,0.000000
0.020000,5.233739,17.250000,0.740739,2.428000,3.980328,-0.000000,0.000000
0.020000,5.283095,17.250000,0.790095,2.507607,3.980328,0.000000,0.000000
0.020000,5.334043,17.250000,0.841043,2.587213,3.980328,0.000000,0.000000
0.020000,5.386584,17.250000,0.893584,2.666820,3.980328,0.000000,0.000000
0.020000,5.440716,17.250000,0.947716,2.746427,3.980328,-0.000000,0.000000
0.020000,5.496441,17.250000,1.003441,2.826033,3.980328,0.000000,0.000000
0.020000,5.553757,17.250000,1.060757,2.905640,3.980328,0.000000,0.000000
0.020000,5.612666,17.250000,1.119666,2.985246,3.980328,0.000000,0.000000
0.020000,5.673167,17.250000,1.180167,3.064853,3.980328,-0.000000,0.000000
0.020000,5.735260,17.250000,1.242260,3.144459,3.980328,0.000000,0.000000
