dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.499972,18.585000,0.000500,0.050000,2.500000,125.000000,0.000021
0.020000,4.499981,18.585000,0.000508,0.000416,-2.479177,-248.958864,0.000014
0.020000,4.499997,18.585000,0.000525,0.000832,0.020770,124.997382,0.000002
0.020000,4.505382,18.585000,0.005909,0.269220,13.419388,669.930870,6.283169
0.020000,4.513415,18.585000,0.013942,0.401655,6.621786,-339.880068,6.283144
0.020000,4.523456,18.584999,0.023984,0.502061,5.020299,-80.074367,6.283113
0.020000,4.535505,18.584998,0.036033,0.602462,5.020037,-0.013091,6.283076
0.020000,4.549562,18.584996,0.050090,0.702857,5.019723,-0.015710,6.283033
0.020000,4.565627,18.584993,0.066155,0.803244,5.019356,-0.018328,6.282985
0.020000,4.583700,18.584989,0.084227,0.903622,5.018938,-0.020947,6.282930
0.020000,4.603780,18.584984,0.104307,1.003992,5.018466,-0.023565,6.282871
0.020000,4.625867,18.584976,0.126394,1.104351,5.017943,-0.026183,6.282805
0.020000,4.649961,18.584966,0.150488,1.204698,5.017367,-0.028801,6.282735
0.020000,4.676061,18.584953,0.176589,1.305033,5.016738,-0.031422,6.282660
0.020000,4.704168,18.584937,0.204696,1.405354,5.016057,-0.034036,6.282579
0.020000,4.734281,18.584918,0.234809,1.505660,5.015324,-0.036658,6.282495
0.020000,4.766400,18.584894,0.266928,1.605951,5.014539,-0.039275,6.282406
0.020000,4.800525,18.584866,0.301053,1.706225,5.013701,-0.041894,6.282312
0.020000,4.836655,18.584833,0.337182,1.806481,5.012811,-0.044512,6.282215
0.020000,4.874789,18.584794,0.375317,1.906719,5.011868,-0.047132,6.282114
0.020000,4.914928,18.584749,0.415455,2.006936,5.010873,-0.049745,6.282011
0.020000,4.957070,18.584697,0.457598,2.107133,5.009826,-0.052372,6.281904
0.020000,5.001216,18.584638,0.501744,2.207307,5.008726,-0.054982,6.281794
0.020000,5.047365,18.584571,0.547893,2.307459,5.007574,-0.057609,6.281683
0.020000,5.095517,18.584496,0.596045,2.407586,5.006369,-0.060215,6.281569
0.020000,5.145671,18.584412,0.646199,2.507688,5.005113,-0.062846,6.281454
0.020000,5.197826,18.584319,0.698354,2.607764,5.003803,-0.065459,6.281337
0.020000,5.251982,18.584215,0.752510,2.707813,5.002442,-0.068071,6.281220
0.020000,5.308139,18.584102,0.808667,2.807834,5.001028,-0.070703,6.281103
0.020000,5.366295,18.583977,0.866824,2.907825,4.999562,-0.073306,6.280986
0.020000,5.426451,18.583841,0.926979,3.007786,4.998043,-0.075937,6.280869
0.020000,5.488605,18.583694,0.989134,3.107715,4.996472,-0.078541,6.280754
0.020000,5.552757,18.583534,1.053286,3.207612,4.994849,-0.081175,6.280639
0.020000,5.618906,18.583362,1.119435,3.307476,4.993173,-0.083783,6.280527
0.020000,5.687052,18.583177,1.187581,3.407305,4.991445,-0.086400,6.280418
0.020000,5.757194,18.582979,1.257723,3.507098,4.989665,-0.089022,6.280312
0.020000,5.829330,18.582768,1.329860,3.606855,4.987832,-0.091637,6.280209
0.020000,5.903462,18.582544,1.403992,3.706573,4.985947,-0.094255,6.280111
0.020000,5.979586,18.582306,1.480117,3.806254,4.984009,-0.096882,6.280017
0.020000,6.057704,18.582055,1.558235,3.905894,4.982019,-0.099484,6.279929
0.020000,6.137813,18.581791,1.638345,4.005494,4.979977,-0.102112,6.279846
0.020000,6.219914,18.581513,1.720446,4.105051,4.977883,-0.104729,6.279771
0.020000,6.304005,18.581223,1.804537,4.204566,4.975736,-0.107344,6.279702
0.020000,6.390085,18.580921,1.890618,4.304037,4.973536,-0.109967,6.279642
0.020000,6.478153,18.580606,1.978687,4.403462,4.971285,-0.112581,6.279590
0.020000,6.568210,18.580281,2.068744,4.502842,4.968981,-0.115197,6.279547
0.020000,6.660253,18.579944,2.160787,4.602174,4.966624,-0.117823,6.279515
0.020000,6.754281,18.579598,2.254817,4.701459,4.964216,-0.120435,6.279493
0.020000,6.850294,18.579243,2.350830,4.800694,4.961755,-0.123058,6.279482
0.020000,6.948291,18.578880,2.448828,4.899879,4.959241,-0.125674,6.279484
0.020000,7.048271,18.578511,2.548808,4.999012,4.956675,-0.128295,6.279499
0.020000,7.150232,18.578136,2.650770,5.098093,4.954057,-0.130913,6.279528
0.020000,7.254174,18.577758,2.754713,5.197121,4.951386,-0.133535,6.279571
0.020000,7.360095,18.577378,2.860634,5.296094,4.948663,-0.136150,6.279629
0.020000,7.467995,18.576998,2.968535,5.395012,4.945888,-0.138776,6.279704
0.020000,7.577871,18.576621,3.078412,5.493873,4.943060,-0.141389,6.279796
0.020000,7.689724,18.576247,3.190266,5.592677,4.940179,-0.144020,6.279905
0.020000,7.803552,18.575881,3.304094,5.691422,4.937247,-0.146629,6.280034
0.020000,7.919354,18.575525,3.419896,5.790107,4.934262,-0.149253,6.280182
0.020000,8.037128,18.575181,3.537671,5.888732,4.931224,-0.151879,6.280351
0.020000,8.156873,18.574853,3.657417,5.987294,4.928134,-0.154489,6.280541
0.020000,8.278589,18.574544,3.779133,6.085794,4.924992,-0.157117,6.280754
0.020000,8.402273,18.574257,3.902817,6.184230,4.921798,-0.159732,6.280990
